SectionID,OfferedCourseID,FacultyID
SEC1,C1,wayne123@gmail.com
SEC2,C2,ximena123@gmail.com
SEC3,C3,yvette123@hotmail.com
SEC4,C4,zackary123@outlook.com
SEC5,C5,allen123@yahoo.com
SEC6,C6,bianca123@gmail.com
SEC7,C7,carl123@hotmail.com
SEC8,C8,danielle123@outlook.com
SEC9,C9,ella123@yahoo.com
SEC10,C10,freddie123@gmail.com
SEC11,C11,gloria123@hotmail.com
SEC12,C12,hank123@yahoo.com
SEC13,C13,isabella123@gmail.com
SEC14,C14,jeremy123@hotmail.com
SEC15,C15,kendra123@outlook.com
SEC16,C16,lucas123@yahoo.com
SEC17,C17,melanie123@gmail.com
SEC18,C18,norman123@hotmail.com
SEC19,C19,olga123@yahoo.com
SEC20,C20,perry123@gmail.com
SEC21,C21,quentin123@hotmail.com
SEC22,C22,rebecca123@yahoo.com
SEC23,C23,sebastian123@gmail.com
SEC24,C24,theresa123@hotmail.com
SEC25,C25,uri123@yahoo.com
SEC26,C26,vanessa123@gmail.com
SEC27,C27,winston123@hotmail.com
SEC28,C28,xena123@yahoo.com
SEC29,C29,yara123@gmail.com
SEC30,C30,zelda123@outlook.com
SEC31,C31,arnold123@yahoo.com
SEC32,C32,brittany123@gmail.com
SEC33,C33,chester123@hotmail.com
SEC34,C34,darlene123@outlook.com
SEC35,C35,edwin123@yahoo.com
SEC36,C36,fernanda123@gmail.com
SEC37,C37,geraldine123@hotmail.com
SEC38,C38,hunter123@yahoo.com
SEC39,C39,ivanna123@gmail.com
SEC40,C40,jonathan123@hotmail.com
SEC41,C41,kelly123@yahoo.com
SEC42,C42,louise123@gmail.com
SEC43,C43,mario123@hotmail.com
SEC44,C44,natalie123@yahoo.com
SEC45,C45,owen123@gmail.com
SEC46,C46,paige123@hotmail.com
SEC47,C47,randall123@yahoo.com
SEC48,C48,sylvia123@gmail.com
SEC49,C49,tyrone123@hotmail.com
SEC50,C50,veronica123@yahoo.com
